epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,513.135,1.42021,1.62965,1.50608,0.64915,0.57093,0.60113,0.28488,2.01624,1.66072,1.64511,0.0007922,0.0007922,0.0007922
63,521.264,1.38032,1.64122,1.49005,0.64881,0.63429,0.63978,0.29893,1.85551,1.4255,1.54805,0.0007724,0.0007724,0.0007724
64,529.488,1.40622,1.6226,1.49354,0.62443,0.64,0.62503,0.27489,2.01856,1.53944,1.72837,0.0007526,0.0007526,0.0007526
65,537.851,1.36704,1.57966,1.47685,0.68052,0.58857,0.61133,0.29257,1.98379,1.60847,1.66149,0.0007328,0.0007328,0.0007328
66,546.202,1.39858,1.5851,1.49174,0.70128,0.52,0.64364,0.31232,1.90182,1.56793,1.5605,0.000713,0.000713,0.000713
67,554.48,1.3675,1.5855,1.47156,0.6904,0.67538,0.68161,0.33457,1.84443,1.42047,1.55896,0.0006932,0.0006932,0.0006932
68,562.811,1.40632,1.58915,1.49183,0.7278,0.65698,0.69705,0.35573,1.72215,1.3544,1.49628,0.0006734,0.0006734,0.0006734
69,571.183,1.35885,1.58624,1.47045,0.64985,0.63631,0.6279,0.3194,1.67811,1.41718,1.4621,0.0006536,0.0006536,0.0006536
70,579.497,1.36181,1.60438,1.47906,0.64706,0.68,0.69505,0.34718,1.72388,1.37759,1.46381,0.0006338,0.0006338,0.0006338
71,587.718,1.37989,1.60285,1.50432,0.68691,0.62286,0.66062,0.31307,1.90073,1.49628,1.55813,0.000614,0.000614,0.000614
72,595.974,1.35361,1.5851,1.45755,0.61711,0.64468,0.61367,0.31661,1.78152,1.48803,1.54239,0.0005942,0.0005942,0.0005942
73,604.226,1.34538,1.56955,1.46019,0.59961,0.59047,0.57995,0.31489,1.70629,1.41592,1.49702,0.0005744,0.0005744,0.0005744
74,612.371,1.36759,1.54411,1.47021,0.6769,0.69714,0.68369,0.3563,1.6897,1.32771,1.47281,0.0005546,0.0005546,0.0005546
75,620.586,1.35164,1.53188,1.45941,0.64638,0.68,0.68452,0.34533,1.77062,1.33387,1.50295,0.0005348,0.0005348,0.0005348
76,628.781,1.34894,1.5268,1.45667,0.73941,0.68571,0.70428,0.35599,1.78674,1.33837,1.51464,0.000515,0.000515,0.000515
77,636.995,1.36412,1.55523,1.47111,0.7524,0.6,0.69898,0.36796,1.71132,1.29792,1.50969,0.0004952,0.0004952,0.0004952
78,645.251,1.33077,1.49012,1.44616,0.63799,0.66468,0.66239,0.33845,1.77844,1.37836,1.55612,0.0004754,0.0004754,0.0004754
79,653.415,1.31482,1.49929,1.43354,0.7469,0.6,0.68606,0.36021,1.65229,1.35138,1.49374,0.0004556,0.0004556,0.0004556
80,661.632,1.31702,1.53296,1.44268,0.71179,0.60571,0.68141,0.35969,1.62445,1.30553,1.44748,0.0004358,0.0004358,0.0004358
81,669.798,1.30873,1.48628,1.42744,0.64394,0.64571,0.66908,0.34391,1.67838,1.37757,1.49084,0.000416,0.000416,0.000416
82,677.935,1.28405,1.44689,1.4218,0.71588,0.63429,0.70371,0.38057,1.66196,1.35608,1.46367,0.0003962,0.0003962,0.0003962
83,686.098,1.32602,1.49651,1.42961,0.70066,0.65143,0.69548,0.38977,1.65844,1.3202,1.45043,0.0003764,0.0003764,0.0003764
84,694.288,1.30737,1.47464,1.42659,0.60589,0.62857,0.64521,0.34982,1.70004,1.32971,1.45473,0.0003566,0.0003566,0.0003566
85,702.54,1.28946,1.44829,1.39619,0.68607,0.62441,0.68273,0.36095,1.70707,1.34187,1.46479,0.0003368,0.0003368,0.0003368
86,710.673,1.29588,1.45433,1.40347,0.67454,0.61585,0.70434,0.36862,1.68652,1.26601,1.49793,0.000317,0.000317,0.000317
87,718.852,1.28278,1.43198,1.40005,0.66031,0.68,0.69356,0.36506,1.67957,1.33421,1.46662,0.0002972,0.0002972,0.0002972
88,727.017,1.29264,1.44149,1.40792,0.7191,0.65714,0.71168,0.3886,1.58768,1.27981,1.44628,0.0002774,0.0002774,0.0002774
89,735.371,1.27778,1.43932,1.4139,0.71207,0.64,0.68051,0.36848,1.66844,1.3054,1.46608,0.0002576,0.0002576,0.0002576
90,743.561,1.27456,1.4405,1.42085,0.66801,0.64571,0.68553,0.36891,1.66628,1.28442,1.46727,0.0002378,0.0002378,0.0002378
91,751.258,1.27631,1.33565,1.43569,0.68158,0.57714,0.62705,0.34741,1.65414,1.41224,1.49089,0.000218,0.000218,0.000218
92,758.875,1.26194,1.28945,1.409,0.68687,0.65181,0.6971,0.39137,1.62935,1.28631,1.43468,0.0001982,0.0001982,0.0001982
93,766.557,1.22077,1.24277,1.39355,0.68528,0.64,0.68355,0.38411,1.64923,1.29583,1.44819,0.0001784,0.0001784,0.0001784
94,774.192,1.22301,1.22221,1.38804,0.66984,0.68,0.68599,0.37486,1.67748,1.27801,1.46679,0.0001586,0.0001586,0.0001586
95,781.827,1.22172,1.23748,1.38906,0.69707,0.70286,0.70556,0.392,1.64759,1.24582,1.45873,0.0001388,0.0001388,0.0001388
96,789.517,1.22306,1.21054,1.38855,0.71597,0.58286,0.67401,0.3803,1.67806,1.2808,1.46453,0.000119,0.000119,0.000119
97,797.266,1.21423,1.19168,1.38924,0.67632,0.65714,0.69042,0.38605,1.64452,1.22992,1.46294,9.92e-05,9.92e-05,9.92e-05
98,804.948,1.197,1.16286,1.36119,0.68478,0.65793,0.69946,0.38319,1.69835,1.24901,1.48342,7.94e-05,7.94e-05,7.94e-05
99,812.733,1.17239,1.11236,1.35913,0.70906,0.62669,0.69116,0.38436,1.67896,1.24469,1.48056,5.96e-05,5.96e-05,5.96e-05
100,820.29,1.21419,1.19712,1.38924,0.74587,0.62055,0.69623,0.3808,1.68942,1.26075,1.48164,3.98e-05,3.98e-05,3.98e-05
